"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"ENTREV";"TAMUNI";"TIPO_TEL";"SEXO";"EDAD";"P0";"P0A";"PROBVOTO";"RAZONESVOTO";"VOTOCORREO";"DUDACORREO";"VOTOCORREOEMITIDO1";"VOTODUDA1";"VOTODUDA2";"VOTOCORREOEMITIDO2";"VOTOCORREOEMITIDOCONJUNTO";"FIDELVOTOCORREO";"INTENCIONG";"CORREOEMITIDOINTENCIONGR";"ESCIDEOL";"PREFPTE";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RECUVOTOGR";"VOTOCORREOEMITIDO1R";"VOTODUDA1R";"VOTODUDA2R";"P3A2COM";"VOTOCORREOEMITIDO2R";"INTENCIONGR";"INTENCIONGRA";"INTENCIONGALTER";"INTENCIONGALTERR";"SIMPATIA";"VOTOSIMG";"VOTOSIMGCONJUNTO"
3415;1037;81;15;31;0;3;0;2;1;2;60;1;1;10;1;4;0;0;0;0;0;0;0;1;1;3;4;1;1;1;1;3;6;4;2;0;0;12;1;3;2;1;1,22609;1,77265;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;"";"";10;7;23;1;7;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;0;0;0;0;0;1;1;21;21;0;1;1
3415;23593;2210;15;31;0;3;0;2;2;1;56;1;1;9;3;4;0;0;0;0;0;0;0;21;21;3;4;1;9998;9998;21;3;9;6;1;1;2;2;5;3;2;2;1,08227;0,94943;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;9;0;0;0;0;11;0;"";"";10;7;23;1;8;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;0;0;0;0;0;21;21;1;1;0;21;21
3415;84555;6287;15;31;0;3;0;2;1;1;18;1;1;8;3;4;0;0;0;0;0;0;0;2;2;7;2;3;0;9995;2;3;6;4;6;0;0;13;2;3;2;2;1,79094;2,38854;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;25;0;0;0;0;18;0;"";"";12;7;23;3;10;1;1;1;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;2;2;1;1;0;2;2
3415;29379;2714;15;31;0;3;0;1;1;1;37;1;1;10;5;4;0;0;0;0;0;0;0;21;21;2;4;1;4;4;21;3;7;5;1;1;3;3;3;5;4;1;1,08545;0,86113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";10;7;23;1;6;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;0;0;0;0;0;21;21;1;1;0;21;21
3415;59263;4894;15;31;0;3;0;1;2;2;38;1;1;10;5;1;0;0;0;0;0;0;0;9999;9999;1;4;1;1;1;21;3;7;5;1;1;4;4;4;5;4;2;1,24999;0,99826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"";"";11;7;23;2;7;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;0;0;9999;9999;0;0;21;21;21
3415;113533;7935;15;31;0;3;0;1;2;1;68;1;1;10;3;4;0;0;0;0;0;0;0;9998;9998;8;2;1;1501;1501;3;3;8;6;2;0;0;12;5;98;8;2;1,12241;0,57351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";"";12;7;23;3;11;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;9998;9999;0;0;1501;1501;1501
3415;6206;598;15;31;0;3;0;2;2;1;57;1;1;10;5;4;0;0;0;0;0;0;0;9999;9999;1;1;1;9999;9999;9999;3;4;3;1;3;9;9;4;4;3;1;1,08227;0,94943;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;"";"";10;7;23;1;9;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9999;0;0;0;0;0;9999;9999;0;0;9999;9999;9999
3415;38152;3420;15;31;0;3;0;2;1;1;51;1;1;10;6;4;0;0;0;0;0;0;0;2;2;5;97;1;1501;1501;5;3;8;6;1;1;3;3;3;3;2;1;1,13561;1,28099;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;"";"";10;7;23;1;11;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;2;2;9997;9997;0;2;2
3415;115097;8063;15;31;0;3;0;1;2;1;35;1;1;10;5;4;0;0;0;0;0;0;0;1602;1602;2;4;1;4;4;1602;3;9;6;1;3;2;2;3;12;5;2;1,08545;0,86113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";12;7;23;3;6;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;0;0;0;0;0;1602;1602;21;21;0;1602;1602
3415;31531;2894;15;31;0;3;0;1;2;1;67;1;1;10;6;4;0;0;0;0;0;0;0;2;2;10;2;1;1501;1501;3;3;9;6;2;0;0;12;5;3;2;1;1,12241;0,57351;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;9;0;"";"";10;7;23;1;6;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;2;2;3;3;0;2;2
